cement,flyash,ggbs,mk,water,water_tcm,sp,vma,nca_20_down,nca_10_down,rca_20_down,rca_10_down,sand,age,cs
159.0,68.0,0.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,510.0,573.0,691.0,90.0,14.78
480.0,0.0,0.0,0.0,170.0,0.35,1.2,0.0,0.0,0.0,458.0,514.0,620.0,3.0,32.26
612.0,0.0,0.0,68.0,170.0,0.25,1.95,0.0,0.0,0.0,412.0,462.0,558.0,3.0,59.69
578.0,0.0,0.0,102.0,170.0,0.25,3.46,0.0,0.0,0.0,410.0,461.0,555.0,3.0,50.43
413.0,0.0,0.0,73.0,170.0,0.35,2.06,0.0,0.0,0.0,455.0,511.0,616.0,3.0,36.45
612.0,0.0,0.0,68.0,170.0,0.25,1.95,0.0,0.0,0.0,412.0,462.0,558.0,7.0,61.66
578.0,0.0,0.0,102.0,170.0,0.25,3.46,0.0,0.0,0.0,410.0,461.0,555.0,7.0,53.52
437.0,0.0,0.0,49.0,170.0,0.35,1.96,0.0,0.0,0.0,456.0,512.0,617.0,7.0,38.27
413.0,0.0,0.0,73.0,170.0,0.35,2.06,0.0,0.0,0.0,455.0,511.0,616.0,7.0,42.95
680.0,0.0,0.0,0.0,170.0,0.25,2.04,0.0,0.0,0.0,415.0,466.0,562.0,28.0,57.83
612.0,0.0,0.0,68.0,170.0,0.25,1.95,0.0,0.0,0.0,412.0,462.0,558.0,28.0,66.43
578.0,0.0,0.0,102.0,170.0,0.25,3.46,0.0,0.0,0.0,410.0,461.0,555.0,28.0,65.03
437.0,0.0,0.0,49.0,170.0,0.35,1.96,0.0,0.0,0.0,456.0,512.0,617.0,28.0,48.29
413.0,0.0,0.0,73.0,170.0,0.35,2.06,0.0,0.0,0.0,455.0,511.0,616.0,28.0,52.98
680.0,0.0,0.0,0.0,170.0,0.25,2.04,0.0,0.0,0.0,415.0,466.0,562.0,90.0,60.0
480.0,0.0,0.0,0.0,170.0,0.35,1.2,0.0,0.0,0.0,458.0,514.0,620.0,90.0,48.32
612.0,0.0,0.0,68.0,170.0,0.25,1.95,0.0,0.0,0.0,412.0,462.0,558.0,90.0,71.62
578.0,0.0,0.0,102.0,170.0,0.25,3.46,0.0,0.0,0.0,410.0,461.0,555.0,90.0,68.56
413.0,0.0,0.0,73.0,170.0,0.35,2.06,0.0,0.0,0.0,455.0,511.0,616.0,90.0,55.16
